State,Num1
END,386
END,387
END,388
END,384
END,388
END,387
END,384
END,388
END,384
END,386
END,387
END,383
END,387
END,385
END,383
END,387
END,383
END,385
END,386
END,382
END,386
END,384
END,381
END,385
END,381
END,383
END,384
END,380
END,384
END,382
END,380
END,383
END,380
END,382
END,382
END,378
END,382
END,380
END,379
END,382
END,378
END,381
END,381
END,377
END,381
END,378
END,377
END,380
END,377
END,379
END,379
END,375
END,379
END,377
END,376
END,379
END,375
END,378
END,378
END,374
END,378
END,375
END,374
END,377
END,374
END,376
END,376
END,373
END,377
END,374
END,373
END,376
END,372
END,375
END,375
END,371
END,375
END,372
END,372
END,375
END,371
END,374
END,373
END,370
END,374
END,371
END,371
END,373
END,369
END,373
END,372
END,369
END,373
END,370
END,370
END,372
END,369
END,372
END,371
END,368
END,372
END,369
END,369
END,372
END,367
END,371
END,370
END,367
END,371
END,368
END,369
END,371
END,367
END,371
END,369
END,367
END,370
END,367
END,368
END,370
END,366
END,370
END,368
END,366
END,370
END,367
END,368
END,369
END,366
END,369
END,368
END,366
END,369
END,366
END,368
END,369
END,365
END,369
END,367
END,365
END,369
END,365
END,367
END,369
END,365
END,369
END,367
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,365
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,367
END,364
END,368
END,366
END,365
END,368
END,364
END,368
END,367
END,364
END,368
END,365
END,365
END,368
END,364
END,367
END,367
END,364
END,367
END,365
END,365
END,368
END,364
END,367
END,367
END,364
END,368
END,365
END,365
END,368
END,364
END,367
END,367
END,364
END,368
END,365
END,365
END,368
END,364
END,368
END,367
END,364
END,368
END,365
END,366
END,368
END,364
END,368
END,367
END,364
END,368
END,365
END,366
END,368
END,364
END,368
END,367
END,364
END,368
END,365
END,366
END,368
END,364
END,368
END,367
END,364
END,368
END,365
END,366
END,368
END,364
END,368
END,367
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,367
END,365
END,368
END,365
END,367
END,368
END,365
END,368
END,367
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,367
END,368
END,364
END,368
END,366
END,365
END,368
END,365
END,368
END,368
END,365
END,368
END,366
END,365
END,368
END,365
END,368
END,368
END,365
END,369
END,366
END,366
END,368
END,365
END,368
END,368
END,365
END,369
END,366
END,366
END,369
END,365
END,369
END,368
END,365
END,369
END,366
END,367
END,369
END,365
END,369
END,368
END,366
END,369
END,367
END,367
END,370
END,366
END,370
END,368
END,366
END,370
END,367
END,368
END,370
END,366
END,370
END,369
END,366
END,370
END,367
END,368
END,370
END,366
END,370
END,369
END,367
END,370
END,367
END,369
END,370
END,367
END,371
END,369
END,367
END,371
END,368
END,370
END,371
END,367
END,371
END,369
END,368
END,371
END,368
END,370
END,371
END,367
END,371
END,369
END,368
END,371
END,368
END,370
END,371
END,367
END,371
END,370
END,368
END,372
END,368
END,371
END,371
END,368
END,372
END,370
END,369
END,372
END,368
END,371
END,371
END,368
END,372
END,370
END,369
END,372
END,368
END,372
END,372
END,368
END,372
END,370
END,369
END,372
END,369
END,372
END,372
END,368
END,372
END,370
END,369
END,372
END,368
END,372
END,371
END,368
END,372
END,370
END,370
END,373
END,369
END,373
END,372
END,369
END,373
END,370
END,370
END,373
END,369
END,373
END,372
END,369
END,373
END,370
END,371
END,373
END,369
END,373
END,372
END,370
END,374
END,371
END,371
END,373
END,370
END,373
END,373
END,370
END,374
END,371
END,372
END,374
END,370
END,374
END,373
END,370
END,374
END,371
END,372
END,374
END,370
END,374
END,373
END,370
END,374
END,371
END,372
END,374
END,370
END,374
END,373
END,370
END,374
END,371
END,373
END,374
END,370
END,374
END,373
END,371
END,375
END,371
END,373
END,374
END,370
END,375
END,373
END,371
END,375
END,371
END,373
END,374
END,371
END,375
END,373
END,371
END,375
END,371
END,374
END,374
END,371
END,375
END,373
END,372
END,375
END,371
END,374
END,375
END,371
END,375
END,373
END,372
END,375
END,372
END,374
END,375
END,371
END,375
END,373
END,372
END,375
END,372
END,375
END,375
END,371
END,376
END,373
END,373
END,375
END,372
END,375
END,375
END,371
END,376
END,373
END,373
END,376
END,372
END,375
END,375
END,371
END,376
END,373
END,373
END,376
END,372
END,375
END,375
END,372
END,376
END,373
END,373
END,376
END,372
END,376
END,375
END,372
END,376
END,373
END,374
END,376
END,372
END,376
END,375
END,372
END,376
END,373
END,374
END,376
END,372
END,376
END,375
END,372
END,376
END,373
END,374
END,376
END,372
END,376
END,375
END,372
END,376
END,373
END,374
END,376
END,372
END,376
END,375
END,373
END,377
END,373
END,375
END,376
END,372
END,376
END,375
